algoritmo,retorno,risco,sharpe,score_esg,PETR4.SA,VALE3.SA,ITUB4.SA,BBDC4.SA,BBAS3.SA,ITSA4.SA,ABEV3.SA,WEGE3.SA,RENT3.SA,SUZB3.SA,GGBR4.SA,CSNA3.SA,CMIG4.SA,EQTL3.SA,RADL3.SA,LREN3.SA,B3SA3.SA,PRIO3.SA,HAPV3.SA,TOTS3.SA,RAIL3.SA,SBSP3.SA,VIVT3.SA,KLBN11.SA
NSGA2,0.1313863339622794,0.15787647375870997,0.8322097069578795,82.4673376732041,0.0,0.0,0.18089253834675142,0.09646633048336843,0.0023327548461873995,0.04450321941149503,0.06516409473006307,0.13508207670068131,0.0,0.12159296255719881,0.002392536069687662,0.0,0.011347577314645649,0.0,0.0,0.0,0.0,0.0,0.0,0.004815749095814141,0.0,0.09941547855820101,0.11660250887608428,0.11939217300982177
NSGA2,0.15544940384845607,0.15856288217923706,0.9803643936841312,81.77618914389942,0.006295740185503143,0.0,0.19179896111298358,0.0426904387030662,0.0,0.029365042093791063,0.06566951566871362,0.13263885792733104,0.0,0.09156645523587087,0.0,0.0,0.026875919429846334,0.0,0.0003732583731304662,0.0,0.0,0.0,0.0,0.00841422163753505,0.0,0.1667084204343616,0.11509255947712131,0.1225106097207458
NSGA2,0.1969210005323187,0.1531855573629906,1.285506309616983,64.88490293705301,0.13191262469502577,0.024946828033580056,0.00931941619726204,0.0,0.0,0.03165045568559014,0.04517902380246432,0.08245496989822938,0.0,0.09918762709672303,0.0,0.0,0.02471214788689557,0.044856407636710886,0.0016641441280647597,0.0,0.0,0.08480022538853019,0.0,0.0,0.0,0.18463438657677686,0.12506491677900017,0.10961682619514689
NSGA2,0.229756920658028,0.17656842277018678,1.3012344849286495,70.09710253319764,0.16212391605671211,0.0011597892918061366,0.17562246732096684,0.0013643188815011986,0.0013346473897298517,0.08869720024414891,0.0011597892918061366,0.10517515713511298,0.0011597892918061366,0.0011597892918061366,0.0013459307771080617,0.0011597892918061366,0.08998567014021303,0.0013985147970556945,0.0011597892918061366,0.0011597892918061366,0.05565462801744894,0.0011597892918061366,0.0011717117915903013,0.0013562834737567923,0.0011808522942070745,0.18279675897930542,0.10492852653497789,0.01658510183171578
NSGA2,0.17991304131440583,0.17213267348387168,1.0451998314617656,79.89795393002345,0.0,0.0,0.18452257852309079,0.0,0.0012746551451926996,0.06931363458629465,0.05230239311908456,0.1283987474487951,0.0,0.0,0.0,0.0,0.07435629275608481,0.012149246935899412,0.0,0.0,0.06642348338273062,0.0,0.0,0.0,0.0,0.18464682453499648,0.11430552749070877,0.11230661607712214
NSGA2,0.12361607676017604,0.15927727515681672,0.7761061748354849,83.09176454904141,0.0,0.0,0.17641090835075374,0.09752251569064581,0.0,0.0035684035453765607,0.06481401595738451,0.13409968257728613,0.0,0.11299322515496336,0.0,0.0,0.010834058603659748,0.0005532331822823483,0.0001413286385196655,0.0,0.0,0.0,0.0,0.062173851489417876,0.0,0.1005050318810331,0.11598486855646026,0.12039887637221684
NSGA2,0.21896125120776927,0.16076641802805242,1.361983764355329,69.14036098073507,0.13656243266331922,0.0,0.14794754922156006,0.0,0.0,0.09510393845461115,0.0008795716441066873,0.08924500729500101,0.0,0.10897243846281048,0.0,0.0,0.06871626465752291,0.0,0.008334627753163916,0.0,0.0,0.05047585906200432,0.0,0.0,0.0,0.17495345850920632,0.11880885227669391,0.0
NSGA2,0.19416613400864247,0.18784254726315971,1.0336642940463519,79.26165596330023,0.006233638178125153,3.873936892014094e-05,0.19409079881727115,0.07205115806017241,0.00910344673644936,0.08761415249691525,3.873936892014094e-05,0.12275511589676816,0.003484932343544182,3.873936892014094e-05,3.873936892014094e-05,3.873936892014094e-05,0.1232607806403511,3.873936892014094e-05,3.873936892014094e-05,3.873936892014094e-05,0.07505435343714026,3.873936892014094e-05,3.873936892014094e-05,0.006963737070896297,3.873936892014094e-05,0.18789375309351655,0.0932529208314023,0.017815079339326342
NSGA2,0.14752660034746606,0.15992436687252082,0.9224773136983104,82.19599854617229,0.0013550754262524804,0.0012079578070403694,0.15950489600607165,0.061124845567267154,0.0012011762633274497,0.03755653112898653,0.03164813914874417,0.13115455123217304,0.0010370222872345834,0.1038218100981735,0.0015274603669311927,0.0012011762633274497,0.0012011762633274497,0.0022123559870028168,0.014181690454342557,0.0010386474941291083,0.0012011762633274497,0.0011981226026916525,0.0012011762633274497,0.012680480924163589,0.0012011762633274497,0.17927103279290366,0.12111115443580807,0.13116116866011934
NSGA2,0.16170236752885236,0.1472721443222937,1.097983384929734,71.48226645393295,0.09319492916526123,0.030104471702865884,0.12486548111368705,0.0,0.014425105651972196,0.03980204289284737,0.051230748691612794,0.10435552942869195,0.0014256592678094208,0.10105044011565316,0.0,0.0,0.08294579272926117,0.022029353456133285,0.0060545013475040935,0.0,0.0,0.007718972159672514,0.0,0.008665023468796919,0.0,0.0694933592300591,0.12931893788162838,0.11331965169654344
NSGA2,0.22733687897906282,0.16002338668827884,1.420647842067665,62.16665638941572,0.17236459915272728,0.0,0.009559673415252719,0.0,0.0,0.09980207123355872,0.04183946322113977,0.08032281592169342,0.0,0.10518642230961733,0.0,0.0,0.08217605453054895,0.018223489604076378,0.0,0.0,0.0,0.08904525239814501,0.0,0.0,0.0,0.17252402578298956,0.12657995845629472,0.002376173973956113
NSGA2,0.2064743510484947,0.18439536123978867,1.1197372301572945,77.0980486769363,0.016089106111655115,0.0015274406613277232,0.19249639211334088,0.002065947368318083,0.009259527757282402,0.10619456049851,0.0,0.13497212068690337,0.0,0.0,0.0,0.0,0.1261571708743385,0.030705048264193707,0.0,0.0,0.07433902406247166,0.005761256013880049,0.0,0.0015629526449914694,0.0,0.17881543051124388,0.11962032343666038,0.00043369899488283827
NSGA2,0.19254419886840143,0.18803416641767925,1.023985175336189,79.77354460310008,0.0,0.0,0.17144483572713448,0.09094112973163292,0.0,0.0861786619196452,0.0,0.1301008100421269,0.0022832675953710665,0.0,0.0,0.0,0.12300630077080127,0.0,0.0,0.0,0.07799284125660833,0.0,0.0,0.0,0.0,0.1913005043341102,0.10980140583026887,0.016950242792300826
NSGA2,0.1848998299677619,0.14990994048086403,1.233406066166535,66.5192777973879,0.13750290808279597,0.02158493393815693,0.12445669313713055,0.0003791558137835306,0.003371404697798804,0.04111351319834883,0.05041919362146465,0.08852887868994866,0.0004140976083408247,0.06968671347691047,0.0031312890221065273,0.001974858754361866,0.07191720928800567,0.011828899711370116,0.00647129175257796,0.001974858754361866,0.0004083418860924011,0.054196826133221715,0.0003853684962510211,0.00036642789894581997,0.00048470178659325037,0.07757854659704762,0.13064389607758536,0.10117999157679937
